tests/d1/test__docstring_slyther.types.ConsCell.txt::test__docstring_slyther.types.ConsCell.txt,0
tests/d1/test_conscell.py::test_cons_init,2
tests/d1/test__docstring_slyther.types.ConsCell.__eq__.txt::test__docstring_slyther.types.ConsCell.__eq__.txt,0.25
tests/d1/test_conscell.py::test_cons_eq_self,0.25
tests/d1/test_conscell.py::test_cons_eq_others,0.5
tests/d1/test_conscell.py::test_cons_eq_noncell,0.25
tests/d1/test__docstring_slyther.types.ConsCell.__repr__.txt::test__docstring_slyther.types.ConsCell.__repr__.txt,0.25
tests/d1/test_conscell.py::test_cons_repr,0.75
tests/d1/test__docstring_slyther.types.ConsList.__init__.txt::test__docstring_slyther.types.ConsList.__init__.txt,0
tests/d1/test__docstring_slyther.types.ConsList.txt::test__docstring_slyther.types.ConsList.txt,0
tests/d1/test_conslist.py::test_init_fail,0.2
tests/d1/test_conslist.py::test_init_nil,0.2
tests/d1/test_conslist.py::test_init_nil_nil,0.2
tests/d1/test_conslist.py::test_twolist_init,0.2
tests/d1/test_conslist.py::test_nestlist_init,0.2
tests/d1/test__docstring_slyther.types.ConsList.__eq__.txt::test__docstring_slyther.types.ConsList.__eq__.txt,2.5
tests/d1/test__docstring_slyther.types.ConsList.from_iterable.txt::test__docstring_slyther.types.ConsList.from_iterable.txt,0
tests/d1/test_conslist.py::test_fromiterable,1
tests/d1/test_conslist.py::test_fromiterable_set,1
tests/d1/test_conslist.py::test_fromiterable_big,1
tests/d1/test_conslist.py::test_fromiterable_uses_cls,1
tests/d1/test__docstring_slyther.types.ConsList.__getitem__.txt::test__docstring_slyther.types.ConsList.__getitem__.txt,0
tests/d1/test_conslist.py::test_getitem,1
tests/d1/test_conslist.py::test_iter,3
tests/d1/test__docstring_slyther.types.ConsList.cells.txt::test__docstring_slyther.types.ConsList.cells.txt,0
tests/d1/test_conslist.py::test_cells,3
tests/d1/test__docstring_slyther.types.ConsList.__len__.txt::test__docstring_slyther.types.ConsList.__len__.txt,0
tests/d1/test_conslist.py::test_len,0.3
tests/d1/test_conslist.py::test_len_big,0.7
tests/d1/test__docstring_slyther.types.ConsList.__contains__.txt::test__docstring_slyther.types.ConsList.__contains__.txt,0
tests/d1/test_conslist.py::test_contains,1
tests/d1/test__docstring_slyther.types.ConsList.__repr__.txt::test__docstring_slyther.types.ConsList.__repr__.txt,0
tests/d1/test_conslist.py::test_repr,1.5
tests/d1/test__docstring_slyther.types.ConsList.__reversed__.txt::test__docstring_slyther.types.ConsList.__reversed__.txt,1
tests/d1/test__docstring_slyther.types.cons.txt::test__docstring_slyther.types.cons.txt,0.3
tests/d1/test_factory.py::test_cons_onto_nil,0.3
tests/d1/test_factory.py::test_cons_onto_conscell,0.3
tests/d1/test_factory.py::test_cons_onto_conslist,0.3
tests/d1/test_factory.py::test_cons_onto_se,0.3
tests/d1/test_factory.py::test_cons_onto_noncons,0.3
tests/d1/test__docstring_slyther.types.SExpression.txt::test__docstring_slyther.types.SExpression.txt,0
tests/d1/test__docstring_slyther.types.LexicalVarStorage.__getitem__.txt::test__docstring_slyther.types.LexicalVarStorage.__getitem__.txt,1.5
tests/d1/test__docstring_slyther.types.LexicalVarStorage.fork.txt::test__docstring_slyther.types.LexicalVarStorage.fork.txt,0.5
tests/d1/test__docstring_slyther.types.LexicalVarStorage.put.txt::test__docstring_slyther.types.LexicalVarStorage.put.txt,0
tests/d1/test__docstring_slyther.types.LexicalVarStorage.txt::test__docstring_slyther.types.LexicalVarStorage.txt,0
tests/d1/test_storage.py::test_fork,1.5
Style Guide,7
TOTAL,37
